| 2014_May_21 | Jay says Mike was in the stream earlier, but didn't say anything and was trying to distract Rich | SOnic 02 | youtube.com/watch?v=a91i9G6Vd64&t=10m03s
| 2017_May_10 | Rich talks about building props for RLM | Party Like it's 1996!!! (Strafe part 1) | youtube.com/watch?v=jka_Ic4ivh0&t=147m05s
| 2017_May_10 | Rich and Karin say they have a theory on why his mother named him Richard William Thomas Evans | More STRAFE (Part 1) | youtube.com/watch?v=GY-0kWZZcLk&t=125m39s
| 2017_May_24 | Rich says he's aware of the GMP Angelfire webpage | Sounds like an Energy Drink (Part 1) | youtube.com/watch?v=gW0qBni2lpM&t=91m15s
| 2017_May_24 | Rich talks about GMP, The Long Walk Home, advises hiding early works in a drawer at home | Sounds like an Energy Drink (Part 2) | youtube.com/watch?v=03phPW_a8Xk&t=9m16s
| 2017_May_26 | Chat asks Rich who's on stream, Rich says just Richard Williams Thomas Evans | Did you know Vanquish is on PC NOW!!! | youtube.com/watch?v=vNCrQFI_vi8&t=105m22s
| 2017_Jun_05 | Rich says he has five siblings | Space Sister | youtube.com/watch?v=CjHXwXYQpLQ&t=5m24s
| 2017_Jul_26 | Jack says he can't decide who's more cynical, Rich or Mike | Jack Returns to PUBG (Part 2) | youtube.com/watch?v=fLNoTtUOFDQ&t=66m50s
| 2017_Aug_09 | Rich clarifies Mike's drunken flask behavior | FTJ Faster Than Jason | youtube.com/watch?v=G8McwH4SaxQ&t=224m55s
| 2017_Aug_09 | Rich says he used to help Mike early on with Plinkett reviews, now it's mostly just Mike | FTJ Faster Than Jason | youtube.com/watch?v=G8McwH4SaxQ&t=226m
| 2017_Aug_30 | Rich says it was awkward talking to no one for Game Station 2.0, and getting blank expressions from Mike and Jay | XCOM on Shrooms (Part 1) | youtube.com/watch?v=INofjxLYg94&t=100m41s
| 2017_Aug_30 | Jack talks about how Mike and Jay used inappropraite footage for Rich's Vanquish review on Game Station 2.0 | XCOM on Shrooms (Part 1) | youtube.com/watch?v=INofjxLYg94&t=101m59s
| 2017_Sep_03 | Jack says he met Mike and Jay through a friend of a friend, then Rich concocts a better story for chat | Mario With a Gun (Part 2) | youtube.com/watch?v=srsgyAI1rDI&t=128m35s
| 2017_Sep_27 | Jack talks about the first time he met Mike and Jay (through a friends of friends in Milwaukee) | XCOM Hotcock | youtube.com/watch?v=1kfh2QrzsrM&t=109m35s
| 2017_Oct_25 | Rich can't think of a time he ever refused an acting request from Mike, other than the Darth Vader mask w/the infamous Droid | Coffee and Strigas (Part 2) | youtube.com/watch?v=tHD4kJSMCG8&t=40m08s
| 2018_Mar_07 | Rich talks about building stuff for RLM | Once More, Into the Breach! (part 1) | youtube.com/watch?v=KOsEzIveFo0&t=92m18s
| 2018_Mar_28 | Jack recounts meeting the second time he met Rich, on the set of Poopagain P.I. | Murder Everyone! (part 1) | youtube.com/watch?v=I2y0r7P1IiY&t=21m08s

Mike: "So me and Rich Evans were making movies, and, um, we, we kind of became part of a online community website for low-budget filmmakers.
"How Not to Make a Movie"

Rich is an apprentice fire sprinkler fitter
(not) Gonna Get a Mew (Pokemon Plaid part 3) | youtube.com/watch?v=CHq_dGG4aIAc&t=22m20s
Guns don't kill people, bullets do! (Part 2) | youtube.com/watch?v=_gkwBkRlrw0&t=9m15s
Siiiick Pokemon radiation BURN!! (Part 2) | youtube.com/watch?v=YuGgtdqdobI&t=55m48s
A Floppy Jalopy | youtube.com/watch?v=nYV_RRXLBrk&t=48m23s
SuperBowl Punday... there will be no puns (Part 3) | youtube.com/watch?v=cd0QKRD6q4I&t=33m26s
Teleglitch - (Part 2) | youtube.com/watch?v=2mxSR-PDN44&t=52m24s
Once More, Into the Breach! (part 1) | youtube.com/watch?v=KOsEzIveFo0&t=92m09s

Disney World Beach Club, lobby, oil/pastel portraits, non-reservation questions (407) 939-2273
https://disneyworld.disney.go.com/help/phone/

Mike: "Rich Evans was involved, uh, in, in my short films probably mid-high school."
How Not to Make a Movie (1m08s)

Filming on Gorilla Interrupted begins March 11, 2002
http://www.linnproductionsmedia.com/007_REwind/001_2002%20REwind%20International%20Media%20Festival%20(4.2%20MB).pdf (page 14)

The Long Walk Home premieres at the REwind International Media Festival in 2002 in South, Dakota
http://www.linnproductionsmedia.com/007_REwind/001_2002%20REwind%20International%20Media%20Festival%20(4.2%20MB).pdf (page 27)

As of April 11, 2011, Rich was not yet living in Milwaukee
https://geekpropaganda.wordpress.com/2011/04/11/half-in-the-bag-with-jay-bauman/

Mike moved to Arizona in 2003
https://web.archive.org/web/20050404052315/http://www.baal-peor.gq.nu:80/fuq/ssv/ss_interv124.html
